source_list,name,id,level,total,strength,defense,speed,dexterity
Baldr's List 3,jackwatkins,640201,20,565,152,141,140,132
Baldr's List 3,mic1000,999990,20,588,397,29,77,85
Baldr's List 3,RedArmy92,956400,20,590,155,150,155,130
Baldr's List 3,JBauer,295976,20,632,187,89,185,171
Baldr's List 3,RamboX,424049,20,649,427,29,156,37
Baldr's List 3,smantas,848845,20,668,155,71,224,218
Baldr's List 3,1Wonder,1003142,20,696,219,14,250,213
Baldr's List 3,Michelle_Gurl,257120,20,781,293,115,253,120
Baldr's List 3,LordDragon,279869,20,790,140,173,270,208
Baldr's List 3,warfarescare,1011214,20,793,240,176,186,191
Baldr's List 3,jesse_c,865088,20,850,400,122,283,46
Baldr's List 3,Firestar952,774785,20,889,229,224,239,197
Baldr's List 3,Mossy,734208,20,898,231,238,200,229
Baldr's List 3,balbaro,782638,20,912,817,30,37,39
Baldr's List 3,lordjamman,512111,20,923,231,231,231,230
Baldr's List 3,aaronyuan,901426,19,54,17,12,14,11
Baldr's List 3,gogo234,1423394,19,67,16,17,22,12
Baldr's List 3,dmora,1075217,19,82,26,16,26,14
Baldr's List 3,dick646,870109,19,136,57,33,23,23
Baldr's List 3,forgotten_mists,296249,19,174,52,29,53,40
Baldr's List 3,dillin1333,1183664,19,187,50,36,77,24
Baldr's List 3,Frozenmalice,789256,19,206,90,29,65,22
Baldr's List 3,dannieex,430140,19,213,42,50,72,49
Baldr's List 3,Febreeze,935251,19,246,97,40,50,59
Baldr's List 3,Foxy-Roxy04,1169008,19,253,52,84,95,22
Baldr's List 3,cooterjessie,367428,19,296,11,10,73,202
Baldr's List 3,DarthZannah,555271,19,351,310,13,18,10
Baldr's List 3,djyoda,750371,19,412,295,12,96,10
Baldr's List 3,-007,1380052,19,599,219,112,162,106
Baldr's List 3,beggerboy,477364,19,729,232,54,382,61
Baldr's List 3,casper619,1442848,19,912,210,221,212,269
Baldr's List 3,Braskius,430622,17,113,10,10,80,13
Baldr's List 3,fathead,1394290,17,217,57,52,52,56
Baldr's List 3,Footballman12,552906,15,451,348,13,79,11
Baldr's List 3,AbcDragonMaster,91892,15,552,207,98,130,117
Baldr's List 3,Deathreaper123,849274,14,635,161,158,158,158
Baldr's Extra List 1,KOKO_CHIT,1663511,30,"22,647","12,963","3,351","4,502","1,831"
Baldr's Extra List 1,Javier615,75522,30,"14,584","3,759","1,703","4,503","4,619"
Baldr's Extra List 1,President,95057,29,"3,438","1,140",136,"1,117","1,045"
Baldr's Extra List 1,Bezo,21631,28,"6,200","1,620","1,035","1,765","1,780"
Baldr's Extra List 1,Eiardrith,76480,28,"2,293",261,"1,644",201,187
Baldr's Extra List 1,jordanh,87572,28,"5,327","1,448","1,182","1,444","1,253"
Baldr's Extra List 1,spana87,241909,28,"2,811",260,224,773,"1,554"
Baldr's Extra List 1,Sgt-Bite_This,200728,28,"1,241",385,11,45,800
Baldr's Extra List 1,DonEdweezy,943004,28,"2,213",566,541,580,527
Baldr's Extra List 1,jakbar,248808,28,"2,222",680,495,489,558
Baldr's Extra List 1,BabsKing,87461,28,"3,698","1,846",629,628,595
Baldr's Extra List 1,Drider30,929257,28,"5,088",805,310,749,"3,224"
Baldr's Extra List 1,tbs786,136660,28,"7,264","1,922","1,692","1,698","1,952"
Baldr's Extra List 1,gamepje,1514039,28,"239,307","13,656","4,459","111,213","109,979"
Baldr's Extra List 1,luckycat76262,34069,27,"3,821",557,"1,231",445,"1,588"
Baldr's Extra List 1,pakure,556583,27,"3,537",904,881,899,853
Baldr's Extra List 1,Silent-ninja,130275,27,"7,282","1,839","1,801","1,801","1,841"
Baldr's Extra List 1,sphynx,173148,27,"3,756",870,877,872,"1,137"
Baldr's Extra List 1,tikiman123,247665,27,"4,073",214,"1,672",119,"2,068"
Baldr's Extra List 1,Eliotte,850551,27,"2,750",512,"2,078",143,17
Baldr's Extra List 1,Sporty_Jordo,320301,27,"1,029",301,234,252,242
Baldr's Extra List 1,rapture,583658,27,"1,350","1,001",49,180,120
Baldr's Extra List 1,vexxor,813216,27,"1,544",482,336,367,359
Baldr's Extra List 1,HateCrime,41317,27,"1,641",497,400,435,409
Baldr's Extra List 1,ghost99,50835,27,"1,705",657,267,598,183
Baldr's Extra List 1,Magus517707,14641,27,"1,829",509,408,500,412
Baldr's Extra List 1,Climactic,222151,27,"1,966",654,56,961,295
Baldr's Extra List 1,jedimasteryoda,26299,27,"2,646","2,049",168,259,170
Baldr's Extra List 1,madmax128,340810,27,"2,762",866,619,529,748
Baldr's Extra List 1,Knowless,27340,27,"2,778",739,691,677,671
Baldr's Extra List 1,gotencs103,54567,27,"2,843",520,506,558,"1,259"
Baldr's Extra List 1,THEking,228704,27,"3,196",933,799,730,734
Baldr's Extra List 1,Mikeopia,359740,27,"3,265","1,138",565,"1,007",555
Baldr's Extra List 1,Mars_hotel,185958,27,"3,771","1,218",302,"1,164","1,087"
Baldr's Extra List 1,AlsCapone,374418,27,"4,194","1,213","1,994",595,392
Baldr's Extra List 1,Bobdude11,316174,27,"5,878","1,424","1,382","1,616","1,456"
Baldr's Extra List 1,dariusvalmortis,431576,27,"6,504","1,171","1,204","2,910","1,219"
Baldr's Extra List 1,im_ran85,244123,27,"11,485","8,830","1,187",486,982
Baldr's Extra List 1,zhuang281,188142,27,"13,983","6,854","1,688","2,961","2,480"
Baldr's Extra List 1,elecenter,45179,26,"4,104","2,329",120,963,692
Baldr's Extra List 1,furby140,17003,26,"8,141","3,880",59,"3,877",325
Baldr's Extra List 1,richchoe,251077,26,"2,063",506,493,605,459
Baldr's Extra List 1,StoneColdstunna,340581,26,"2,045","1,099",347,283,316
Baldr's Extra List 1,Wolf_Dogg,313353,26,"5,306","1,379","1,281","1,358","1,288"
Baldr's Extra List 1,BiGPiMP23,498729,26,"1,048",312,205,317,214
Baldr's Extra List 1,andy1990,353885,26,"1,385",345,346,345,349
Baldr's Extra List 1,PyroManiacX,514096,26,"1,512",284,370,571,287
Baldr's Extra List 1,Jack81,753853,26,"1,669",458,313,417,481
Baldr's Extra List 1,sunflower_jen,458343,26,"1,676",330,180,683,483
Baldr's Extra List 1,aditzs,464918,26,"1,843",609,347,539,348
Baldr's Extra List 1,candy_man,237866,26,"2,345",718,423,476,728
Baldr's Extra List 1,spires27,451695,26,"2,675","1,282",554,343,496
Baldr's Extra List 1,Gazellee,953808,26,"2,869",913,309,906,741
Baldr's Extra List 1,snachy,162476,26,"3,123",450,449,"1,588",636
Baldr's Extra List 1,Sparta3,802907,26,"3,174",787,788,810,789
Baldr's Extra List 1,Raiden46,800608,26,"3,198",791,800,805,802
Baldr's Extra List 1,Nekroman,67254,26,"3,555","1,944",10,854,747
Baldr's Extra List 1,trenty005,147082,26,"3,587","1,112",417,"1,612",446
Baldr's Extra List 1,Allault,792900,26,"3,682","1,014",10,550,"2,108"
Baldr's Extra List 1,whitefang,275866,26,"3,700","1,129",819,696,"1,056"
Baldr's Extra List 1,lucia928,112024,26,"3,741",595,518,528,"2,100"
Baldr's Extra List 1,diabrete,365986,26,"4,405","1,053","1,256","1,056","1,040"
Baldr's Extra List 1,SOCA,264257,26,"5,425","1,776",505,170,"2,974"
Baldr's Extra List 1,Strapnel,464079,26,"11,953","2,505","4,751","2,331","2,366"
Baldr's Extra List 1,tygerbomb,342150,26,"2,120,394","2,118,674",543,555,622
Baldr's Extra List 2,cripaustin,372870,25,"2,638","1,019",298,"1,045",276
Baldr's Extra List 2,Cyrus,14092,25,"2,103",965,44,"1,008",86
Baldr's Extra List 2,jmsmnch,905822,25,"2,073",474,365,724,510
Baldr's Extra List 2,rhodesnyomi,575176,25,"3,318",745,398,"1,123","1,052"
Baldr's Extra List 2,Sai_Deschain,815125,25,"7,110","4,237",644,667,"1,562"
Baldr's Extra List 2,Skieth,983447,25,"2,764","1,342",150,770,502
Baldr's Extra List 2,SUB_Z3RO,330496,25,"2,312",442,400,399,"1,071"
Baldr's Extra List 2,YoungMoneyy,436308,25,"4,791","2,454",688,961,688
Baldr's Extra List 2,samsta,280295,25,"1,008",300,301,199,208
Baldr's Extra List 2,mrmikeyh,660205,25,"1,111",312,264,248,287
Baldr's Extra List 2,Mrfootey,478962,25,"1,213",256,262,461,234
Baldr's Extra List 2,babytaz1987,382338,25,"1,260",303,327,328,302
Baldr's Extra List 2,bfg1,229632,25,"1,272",474,264,269,265
Baldr's Extra List 2,PeachMentos,488384,25,"1,275",237,119,569,350
Baldr's Extra List 2,s3nGz,465467,25,"1,297",537,39,403,318
Baldr's Extra List 2,381995,381995,25,"1,347",404,237,463,243
Baldr's Extra List 2,Nocturnal,342907,25,"1,416",481,283,317,335
Baldr's Extra List 2,Samanosuke,190695,25,"1,436",719,28,616,73
Baldr's Extra List 2,UzumakiDan,432474,25,"1,542",453,360,362,367
Baldr's Extra List 2,rafamoulima,1177887,25,"1,666","1,394",130,116,26
Baldr's Extra List 2,ODD-E-CEED,451753,25,"1,677",454,400,416,407
Baldr's Extra List 2,Takayte,83039,25,"1,693",910,213,309,261
Baldr's Extra List 2,DonJuanMatus,421949,25,"1,702",243,16,"1,109",334
Baldr's Extra List 2,mickblue1,740967,25,"1,710",826,601,267,16
Baldr's Extra List 2,Vashyron,470180,25,"1,729",296,526,323,584
Baldr's Extra List 2,Carpathia,1082559,25,"1,755",514,352,452,437
Baldr's Extra List 2,thechosen,644384,25,"1,755",536,318,643,258
Baldr's Extra List 2,mafia80,484743,25,"1,794",535,244,297,718
Baldr's Extra List 2,dark_fart,281747,25,"1,857",607,407,429,414
Baldr's Extra List 2,Semyon,1210736,25,"1,902",435,659,369,439
Baldr's Extra List 2,smalltownboy,938350,25,"1,974",593,445,425,511
Baldr's Extra List 2,Chrissy_M_,768356,25,"1,975",501,457,511,506
Baldr's Extra List 2,MastaDon,232564,25,"2,143",740,14,702,687
Baldr's Extra List 2,thatboyb,668705,25,"2,350",441,46,"1,520",343
Baldr's Extra List 2,chrischris987,758810,25,"2,399",567,569,574,689
Baldr's Extra List 2,AzNMafiA,343321,25,"2,512",525,683,746,558
Baldr's Extra List 2,andrea,65146,25,"2,544",377,67,595,"1,505"
Baldr's Extra List 2,Xec,384786,25,"3,001",776,712,786,727
Baldr's Extra List 2,paulski,466947,25,"3,707",718,405,"2,001",583
Baldr's Extra List 2,-MaRcI-,325378,25,"3,715","1,010",876,908,921
Baldr's Extra List 2,jakoar40,1278107,25,"3,891",417,654,"2,547",273
Baldr's Extra List 2,Excelin,463919,25,"4,181","1,384",69,"1,382","1,346"
Baldr's Extra List 2,JonnyIR86,930653,25,"5,194","3,838",502,400,454
Baldr's Extra List 2,thugz-bunny,380958,25,"5,521","1,001","1,000","2,006","1,514"
Baldr's Extra List 2,xjoorx,349371,25,"5,788","1,352","2,167","1,136","1,133"
Baldr's Extra List 2,KSpoon,184845,25,"5,815",885,"3,483",481,966
Baldr's Extra List 2,blobbydude1,931279,25,"6,878","1,317","1,254","1,224","3,083"
Baldr's Extra List 2,knife_fight,355177,25,"6,964","1,784","1,047","2,913","1,220"
Baldr's Extra List 2,_-M0B-_,228051,25,"7,457","2,874",279,"3,368",936
Baldr's Extra List 2,ZachMan94,545762,25,"8,139","6,751",430,481,477
Baldr's Extra List 2,jesusjerusalem,507362,25,"8,173","2,488","2,200","1,544","1,941"
Baldr's Extra List 2,Ryoma,28699,25,"18,392","4,817","4,577","4,353","4,645"
Baldr's Extra List 3,theprowler,421990,24,"2,282",603,513,677,489
Baldr's Extra List 3,angel_fire,327989,24,"2,449",699,654,610,486
Baldr's Extra List 3,BLINTON,1399729,24,"2,800",782,516,500,"1,002"
Baldr's Extra List 3,Rossder,197040,24,"2,080",531,531,512,506
Baldr's Extra List 3,scorpion51501,451340,24,"5,379","4,079",168,"1,009",123
Baldr's Extra List 3,Sioloc,768647,24,"7,042","3,385",31,"1,572","2,054"
Baldr's Extra List 3,invishunter,353161,24,"1,003",549,12,251,191
Baldr's Extra List 3,Brojnikov,347364,24,"1,006",465,154,298,89
Baldr's Extra List 3,igglepiggle,787968,24,"1,017",332,180,349,156
Baldr's Extra List 3,esrocked1,504786,24,"1,059",260,230,285,284
Baldr's Extra List 3,KhoiRyu,714004,24,"1,061",613,66,183,199
Baldr's Extra List 3,ziwonge,510003,24,"1,095",236,266,253,340
Baldr's Extra List 3,fleffi,553287,24,"1,113",173,96,604,240
Baldr's Extra List 3,ORANGEZ,535986,24,"1,134",320,270,281,263
Baldr's Extra List 3,aaronbuyz,971899,24,"1,153",468,212,201,272
Baldr's Extra List 3,CodyRst,916292,24,"1,155",684,69,300,102
Baldr's Extra List 3,Budafa,670897,24,"1,198",360,113,363,362
Baldr's Extra List 3,saunders,522148,24,"1,204",414,265,275,250
Baldr's Extra List 3,Doniiie,446282,24,"1,249",279,253,300,417
Baldr's Extra List 3,eniGzor,512527,24,"1,271",693,52,202,324
Baldr's Extra List 3,FloodyBoy,344390,24,"1,323",372,237,459,255
Baldr's Extra List 3,matspek,1013307,24,"1,323",135,10,519,659
Baldr's Extra List 3,streetracer,455918,24,"1,346",290,326,273,457
Baldr's Extra List 3,vince95,292411,24,"1,379",276,136,203,764
Baldr's Extra List 3,S-P-L-A-T,482042,24,"1,402",359,745,225,73
Baldr's Extra List 3,op_sasjoe,970145,24,"1,432",363,345,361,363
Baldr's Extra List 3,sangay-unit,273087,24,"1,440",479,307,375,279
Baldr's Extra List 3,qualtum,233737,24,"1,452",351,368,362,371
Baldr's Extra List 3,SmakHead,272293,24,"1,492","1,055",17,212,208
Baldr's Extra List 3,upchurch,19864,24,"1,504",287,325,253,639
Baldr's Extra List 3,PurgingChaos,568129,24,"1,542",427,399,335,381
Baldr's Extra List 3,Dayne_888,525550,24,"1,577",791,271,252,263
Baldr's Extra List 3,ZackFair,992984,24,"1,640",599,103,602,336
Baldr's Extra List 3,Parkzzz,314252,24,"1,656",539,342,344,431
Baldr's Extra List 3,WOW,882854,24,"1,694",971,12,383,328
Baldr's Extra List 3,calvin5258,914038,24,"1,736",473,435,453,375
Baldr's Extra List 3,jemolnar2,183886,24,"1,745",945,105,530,165
Baldr's Extra List 3,Viktor-Tsoi,742707,24,"1,794",409,570,410,405
Baldr's Extra List 3,wed608,543610,24,"1,800",349,417,606,428
Baldr's Extra List 3,MissTakes,950733,24,"1,812",364,686,526,236
Baldr's Extra List 3,penywize,610508,24,"1,885",350,314,408,813
Baldr's Extra List 3,Gi_M,465776,24,"1,938",456,275,765,442
Baldr's Extra List 3,ced70,984505,24,"2,024",566,132,"1,184",142
Baldr's Extra List 3,micrane1,773962,24,"2,157",643,355,"1,018",141
Baldr's Extra List 3,henri631,528613,24,"2,261","1,107",272,366,516
Baldr's Extra List 3,MsAech,163117,24,"2,297",650,689,223,735
Baldr's Extra List 3,Glazer13,517671,24,"2,330","1,080",17,935,298
Baldr's Extra List 3,aburagheb,432385,24,"2,391","1,545",298,521,27
Baldr's Extra List 3,buckolfc,218930,24,"2,419",891,99,"1,296",133
Baldr's Extra List 3,SSGTJester,857383,24,"2,525",625,634,632,634
Baldr's Extra List 3,Trisk,13800,24,"2,555",97,149,680,"1,629"
Baldr's Extra List 3,Bora,1064044,24,"2,568",680,659,619,610
Baldr's Extra List 3,hulagadoo,918435,24,"2,673",610,"1,070",594,399
Baldr's Extra List 3,SandaP,1201,24,"2,811",967,515,833,496
Baldr's Extra List 3,lunatik,20230,24,"2,930",739,734,731,726
Baldr's Extra List 3,conchi,1258259,24,"2,958",410,33,"2,223",292
Baldr's Extra List 3,jonlyth,566824,24,"3,271","1,013",700,805,753
Baldr's Extra List 3,ANTIHIPPY,305270,24,"3,330",915,796,797,822
Baldr's Extra List 3,Nicktwo,627428,24,"3,729","1,087",808,"1,262",572
Baldr's Extra List 3,Sindel,31580,24,"4,364",475,406,"1,495","1,988"
Baldr's Extra List 3,ChasingFate,185939,24,"4,752","1,074","1,103","1,471","1,104"
Baldr's Extra List 3,blop,232200,24,"5,143","3,448",393,299,"1,003"
Baldr's Extra List 3,ghost-12,666693,24,"5,412","2,260","1,137","1,150",865
Baldr's Extra List 3,Brainiac316,165654,24,"5,945",174,10,811,"4,950"
Baldr's Extra List 3,Cherry_Piercer,170474,24,"7,367","1,755","1,982","1,664","1,966"
Baldr's Extra List 3,Muteki,367657,24,"8,441","1,186","1,228","4,597","1,430"
Baldr's Extra List 3,Singre,507984,24,"9,112","2,411","2,155","2,207","2,339"
Baldr's Extra List 3,TC_BADBOY,218703,24,"9,447","3,182","2,328","2,239","1,698"
Baldr's Extra List 3,redeye1139,769246,24,"170,846","41,723","129,035",19,69
Baldr's Extra List 3,DiosPhoenix,525046,24,"1,597,366","2,265","1,594,842",107,155
Baldr's Extra List 3,CooleErica,297041,23,"1,888",474,470,474,470
Baldr's Extra List 3,therush,295463,23,"2,320",203,20,416,"1,681"
Baldr's Extra List 3,Fijindian,148374,23,"2,384",695,536,610,543
Baldr's Extra List 3,poeticthug07,295547,23,"2,720",883,606,587,644
Baldr's Extra List 3,kinggeorge920,714273,23,"2,791",965,725,753,348
Baldr's Extra List 3,ghettolad,247192,23,"2,850",715,625,605,905
Baldr's Extra List 3,armyguy89,466216,23,"3,839","1,265",692,"1,161",721
Baldr's Extra List 3,HIT_MAN_94,729522,21,"1,016",261,247,258,247
Baldr's Extra List 3,BGenDron,30117,21,"1,047",881,42,106,17
Baldr's Extra List 3,megan56,556294,21,"1,229",432,186,190,421
Baldr's Extra List 3,AItair,670286,20,"1,076",315,222,391,148
