source_list,name,id,level,total,strength,defense,speed,dexterity,profile_url
Slinky Leveling Targets,kyro56,1395728,18,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1395728
Slinky Leveling Targets,firelordflame,668482,18,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=668482
Slinky Leveling Targets,jakej96,1606267,17,51,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1606267
Slinky Leveling Targets,ClosetRealtor,2405369,17,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2405369
Slinky Leveling Targets,freaksh0w,1835803,17,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1835803
Slinky Leveling Targets,angelic_layer,554071,17,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=554071
Slinky Leveling Targets,whorree_mail_me,1351922,17,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1351922
Slinky Leveling Targets,rjrules1231,1480938,17,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1480938
Slinky Leveling Targets,bloodbones2,1388057,17,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1388057
Slinky Leveling Targets,Airforcegabbone,2359540,17,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2359540
Slinky Leveling Targets,3nergyFull,1936021,17,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1936021
Slinky Leveling Targets,brav_92popo,1322842,16,44,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1322842
Slinky Leveling Targets,BETCH,585936,16,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=585936
Slinky Leveling Targets,pops11,1299741,16,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1299741
Slinky Leveling Targets,HayThi,1025634,16,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1025634
Slinky Leveling Targets,1159391,1159391,16,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1159391
Slinky Leveling Targets,glamorous301,929210,16,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=929210
Slinky Leveling Targets,__Something__,1866895,16,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1866895
Slinky Leveling Targets,Johna,1280992,16,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1280992
Slinky Leveling Targets,pumpkin316,1864367,16,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1864367
Slinky Leveling Targets,MUSLIMZ123,1547645,16,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1547645
Slinky Leveling Targets,goddy1601,2048776,16,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2048776
Slinky Leveling Targets,Daishaun,1024614,16,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1024614
Slinky Leveling Targets,Roragon,1860748,16,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1860748
Slinky Leveling Targets,YOLER,2046077,16,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2046077
Slinky Leveling Targets,cb2me,1679616,16,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1679616
Slinky Leveling Targets,fabregas56,1647409,16,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1647409
Slinky Leveling Targets,kerrA,1594057,16,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1594057
Slinky Leveling Targets,rhondas1,1843812,16,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1843812
Slinky Leveling Targets,Elson07,593443,16,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=593443
Slinky Leveling Targets,jazzyjake25,1621789,15,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1621789
Slinky Leveling Targets,badboii321,936383,15,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=936383
Slinky Leveling Targets,bobkiller3,1422718,15,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1422718
Slinky Leveling Targets,atn,2074175,15,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2074175
Slinky Leveling Targets,lover117,1285131,15,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1285131
Slinky Leveling Targets,croki,1845377,15,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1845377
Slinky Leveling Targets,kalam12345,1436559,15,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1436559
Slinky Leveling Targets,zycore1,1573781,15,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1573781
Slinky Leveling Targets,need-for-zoom,1374128,15,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1374128
Slinky Leveling Targets,XSlayer2009,1609480,15,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1609480
Slinky Leveling Targets,badkid911,975654,15,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=975654
Slinky Leveling Targets,sunil1,1265478,15,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1265478
Slinky Leveling Targets,ajh813,1554463,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1554463
Slinky Leveling Targets,CommandoTheLion,681299,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=681299
Slinky Leveling Targets,Crimson1995,1280502,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1280502
Slinky Leveling Targets,pegbundy,1236403,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1236403
Slinky Leveling Targets,emosurprimo,1615798,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1615798
Slinky Leveling Targets,yougo1000,1620516,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1620516
Slinky Leveling Targets,Body_slasher,1409469,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1409469
Slinky Leveling Targets,Soonerdyy,1704490,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1704490
Slinky Leveling Targets,bullet789,1417924,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1417924
Slinky Leveling Targets,tantan,1489004,15,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1489004
Slinky Leveling Targets,ronstopable,1181544,15,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1181544
Slinky Leveling Targets,tommy101,1563509,15,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1563509
Slinky Leveling Targets,JayDaIcey,2141315,15,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2141315
