source_list,name,id,level,total,profile_url,strength,defense,speed,dexterity
Legacy List 2,ronstopable,1181544,15,94,https://www.torn.com/profiles.php?XID=1181544,Unknown,Unknown,Unknown,Unknown
Legacy List 2,tommy101,1563509,15,94,https://www.torn.com/profiles.php?XID=1563509,Unknown,Unknown,Unknown,Unknown
Legacy List 2,JayDaIcey,2141315,15,94,https://www.torn.com/profiles.php?XID=2141315,Unknown,Unknown,Unknown,Unknown
Legacy List 2,kavadava,1561685,15,38,https://www.torn.com/profiles.php?XID=1561685,Unknown,Unknown,Unknown,Unknown
Legacy List 2,kaison13,1453389,18,59,https://www.torn.com/profiles.php?XID=1453389,Unknown,Unknown,Unknown,Unknown
Legacy List 2,XSlayer2009,1609480,15,75,https://www.torn.com/profiles.php?XID=1609480,Unknown,Unknown,Unknown,Unknown
Legacy List 2,suicide97,1191400,17,84,https://www.torn.com/profiles.php?XID=1191400,Unknown,Unknown,Unknown,Unknown
Legacy List 2,CommandoTheLion,681299,15,94,https://www.torn.com/profiles.php?XID=681299,Unknown,Unknown,Unknown,Unknown
Legacy List 2,emosurprimo,1615798,15,94,https://www.torn.com/profiles.php?XID=1615798,Unknown,Unknown,Unknown,Unknown
Legacy List 2,ClayDude,1324504,18,67,https://www.torn.com/profiles.php?XID=1324504,Unknown,Unknown,Unknown,Unknown
Legacy List 2,sunil1,1265478,15,75,https://www.torn.com/profiles.php?XID=1265478,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Johna,1280992,16,84,https://www.torn.com/profiles.php?XID=1280992,Unknown,Unknown,Unknown,Unknown
Legacy List 2,joshymitty,1022737,20,104,https://www.torn.com/profiles.php?XID=1022737,Unknown,Unknown,Unknown,Unknown
Legacy List 2,nickp36,1171459,20,115,https://www.torn.com/profiles.php?XID=1171459,Unknown,Unknown,Unknown,Unknown
Legacy List 2,azaface1,1267743,15,126,https://www.torn.com/profiles.php?XID=1267743,Unknown,Unknown,Unknown,Unknown
Legacy List 2,BG_ALPHADOG,1323220,15,126,https://www.torn.com/profiles.php?XID=1323220,Unknown,Unknown,Unknown,Unknown
Legacy List 2,yaesu001,353299,23,126,https://www.torn.com/profiles.php?XID=353299,Unknown,Unknown,Unknown,Unknown
Legacy List 2,dick646,870109,19,138,https://www.torn.com/profiles.php?XID=870109,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Madds4,1079830,21,163,https://www.torn.com/profiles.php?XID=1079830,Unknown,Unknown,Unknown,Unknown
Legacy List 2,lucasmnunesk,1785612,15,Unknown,https://www.torn.com/profiles.php?XID=1785612,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Daishaun,1024614,16,67,https://www.torn.com/profiles.php?XID=1024614,Unknown,Unknown,Unknown,Unknown
Legacy List 2,ash_j,1542030,20,94,https://www.torn.com/profiles.php?XID=1542030,Unknown,Unknown,Unknown,Unknown
Legacy List 2,hassanian,881857,16,138,https://www.torn.com/profiles.php?XID=881857,Unknown,Unknown,Unknown,Unknown
Legacy List 2,breshizzle,929846,17,Unknown,https://www.torn.com/profiles.php?XID=929846,Unknown,Unknown,Unknown,Unknown
Legacy List 2,pops11,1299741,16,51,https://www.torn.com/profiles.php?XID=1299741,Unknown,Unknown,Unknown,Unknown
Legacy List 2,ajh813,1554463,15,84,https://www.torn.com/profiles.php?XID=1554463,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Zak67,857317,16,84,https://www.torn.com/profiles.php?XID=857317,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Awesome0ne,1767284,24,Unknown,https://www.torn.com/profiles.php?XID=1767284,Unknown,Unknown,Unknown,Unknown
Legacy List 2,kalam12345,1436559,15,67,https://www.torn.com/profiles.php?XID=1436559,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Soonerdyy,1704490,15,67,https://www.torn.com/profiles.php?XID=1704490,Unknown,Unknown,Unknown,Unknown
Legacy List 2,jack_le,997057,17,Unknown,https://www.torn.com/profiles.php?XID=997057,Unknown,Unknown,Unknown,Unknown
Legacy List 2,mariconarana,1250264,16,44,https://www.torn.com/profiles.php?XID=1250264,Unknown,Unknown,Unknown,Unknown
Legacy List 2,superspooky12,1364960,18,51,https://www.torn.com/profiles.php?XID=1364960,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Body_slasher,1409469,15,84,https://www.torn.com/profiles.php?XID=1409469,Unknown,Unknown,Unknown,Unknown
Legacy List 2,ghostbusterz13,1330125,18,84,https://www.torn.com/profiles.php?XID=1330125,Unknown,Unknown,Unknown,Unknown
Legacy List 2,fredie,524902,20,84,https://www.torn.com/profiles.php?XID=524902,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Daishaun,1024614,16,67,https://www.torn.com/profiles.php?XID=1024614,Unknown,Unknown,Unknown,Unknown
Legacy List 2,bullet789,1417924,15,84,https://www.torn.com/profiles.php?XID=1417924,Unknown,Unknown,Unknown,Unknown
Legacy List 2,tutan,1389629,20,94,https://www.torn.com/profiles.php?XID=1389629,Unknown,Unknown,Unknown,Unknown
Legacy List 3,codeofdeath,579202,20,Unknown,https://www.torn.com/profiles.php?XID=579202,Unknown,Unknown,Unknown,Unknown
Legacy List 3,MUSLIMZ123,1547645,16,59,https://www.torn.com/profiles.php?XID=1547645,Unknown,Unknown,Unknown,Unknown
Legacy List 3,zycore1,1573781,15,67,https://www.torn.com/profiles.php?XID=1573781,Unknown,Unknown,Unknown,Unknown
Legacy List 3,vuyo,1432102,18,67,https://www.torn.com/profiles.php?XID=1432102,Unknown,Unknown,Unknown,Unknown
Legacy List 3,kyro56,1395728,18,75,https://www.torn.com/profiles.php?XID=1395728,Unknown,Unknown,Unknown,Unknown
Legacy List 3,badkid911,975654,15,75,https://www.torn.com/profiles.php?XID=975654,Unknown,Unknown,Unknown,Unknown
Legacy List 3,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 3,slykid,581343,20,104,https://www.torn.com/profiles.php?XID=581343,Unknown,Unknown,Unknown,Unknown
Legacy List 3,landhead71,1400442,20,84,https://www.torn.com/profiles.php?XID=1400442,Unknown,Unknown,Unknown,Unknown
Legacy List 3,livehere,969780,20,84,https://www.torn.com/profiles.php?XID=969780,Unknown,Unknown,Unknown,Unknown
Legacy List 3,fredie,524902,20,84,https://www.torn.com/profiles.php?XID=524902,Unknown,Unknown,Unknown,Unknown
Legacy List 3,samartin,685929,20,84,https://www.torn.com/profiles.php?XID=685929,Unknown,Unknown,Unknown,Unknown
Legacy List 3,fredmonkey,648698,20,94,https://www.torn.com/profiles.php?XID=648698,Unknown,Unknown,Unknown,Unknown
Legacy List 3,Hass101,974933,20,94,https://www.torn.com/profiles.php?XID=974933,Unknown,Unknown,Unknown,Unknown
Legacy List 3,tutan,1389629,20,94,https://www.torn.com/profiles.php?XID=1389629,Unknown,Unknown,Unknown,Unknown
Legacy List 3,FLOWRIDER,920348,20,94,https://www.torn.com/profiles.php?XID=920348,Unknown,Unknown,Unknown,Unknown
Legacy List 3,tnm021,794755,20,94,https://www.torn.com/profiles.php?XID=794755,Unknown,Unknown,Unknown,Unknown
Legacy List 3,azizul,487342,19,59,https://www.torn.com/profiles.php?XID=487342,Unknown,Unknown,Unknown,Unknown
Legacy List 3,blackpower12,575872,19,59,https://www.torn.com/profiles.php?XID=575872,Unknown,Unknown,Unknown,Unknown
Legacy List 3,jt2946,1439547,19,59,https://www.torn.com/profiles.php?XID=1439547,Unknown,Unknown,Unknown,Unknown
Legacy List 3,aaronyuan,901426,19,59,https://www.torn.com/profiles.php?XID=901426,Unknown,Unknown,Unknown,Unknown
Legacy List 3,Linners,1475516,19,67,https://www.torn.com/profiles.php?XID=1475516,Unknown,Unknown,Unknown,Unknown
Legacy List 3,gogo234,1423394,19,67,https://www.torn.com/profiles.php?XID=1423394,Unknown,Unknown,Unknown,Unknown
Legacy List 3,Mrs-Smiley,2038807,19,75,https://www.torn.com/profiles.php?XID=2038807,Unknown,Unknown,Unknown,Unknown
Legacy List 3,dmora,1075217,19,75,https://www.torn.com/profiles.php?XID=1075217,Unknown,Unknown,Unknown,Unknown
Legacy List 3,pug_angel,1602560,19,84,https://www.torn.com/profiles.php?XID=1602560,Unknown,Unknown,Unknown,Unknown
Legacy List 3,najun18,524669,19,84,https://www.torn.com/profiles.php?XID=524669,Unknown,Unknown,Unknown,Unknown
Legacy List 3,rabbit132,1301482,19,84,https://www.torn.com/profiles.php?XID=1301482,Unknown,Unknown,Unknown,Unknown
Legacy List 3,Ophianne,928958,19,94,https://www.torn.com/profiles.php?XID=928958,Unknown,Unknown,Unknown,Unknown
Legacy List 3,alison_angel,610742,18,59,https://www.torn.com/profiles.php?XID=610742,Unknown,Unknown,Unknown,Unknown
Legacy List 3,georgebighead,1302033,18,59,https://www.torn.com/profiles.php?XID=1302033,Unknown,Unknown,Unknown,Unknown
Legacy List 3,ClayDude,1324504,18,67,https://www.torn.com/profiles.php?XID=1324504,Unknown,Unknown,Unknown,Unknown
Legacy List 3,vampire1996,1361202,18,84,https://www.torn.com/profiles.php?XID=1361202,Unknown,Unknown,Unknown,Unknown
Legacy List 3,Boo12,1366126,18,84,https://www.torn.com/profiles.php?XID=1366126,Unknown,Unknown,Unknown,Unknown
Legacy List 3,superspooky12,1364960,18,84,https://www.torn.com/profiles.php?XID=1364960,Unknown,Unknown,Unknown,Unknown
Legacy List 3,kaison13,1453389,18,84,https://www.torn.com/profiles.php?XID=1453389,Unknown,Unknown,Unknown,Unknown
Legacy List 3,ghostbusterz13,1330125,18,84,https://www.torn.com/profiles.php?XID=1330125,Unknown,Unknown,Unknown,Unknown
Legacy List 3,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 3,kirstie76,1396936,18,84,https://www.torn.com/profiles.php?XID=1396936,Unknown,Unknown,Unknown,Unknown
Legacy List 3,kyro56,1395728,18,94,https://www.torn.com/profiles.php?XID=1395728,Unknown,Unknown,Unknown,Unknown
Legacy List 3,firelordflame,668482,18,94,https://www.torn.com/profiles.php?XID=668482,Unknown,Unknown,Unknown,Unknown
Legacy List 3,jakej96,1606267,17,51,https://www.torn.com/profiles.php?XID=1606267,Unknown,Unknown,Unknown,Unknown
Legacy List 3,ClosetRealtor,2405369,17,59,https://www.torn.com/profiles.php?XID=2405369,Unknown,Unknown,Unknown,Unknown
Legacy List 3,freaksh0w,1835803,17,67,https://www.torn.com/profiles.php?XID=1835803,Unknown,Unknown,Unknown,Unknown
Legacy List 3,angelic_layer,554071,17,75,https://www.torn.com/profiles.php?XID=554071,Unknown,Unknown,Unknown,Unknown
Legacy List 3,whorree_mail_me,1351922,17,84,https://www.torn.com/profiles.php?XID=1351922,Unknown,Unknown,Unknown,Unknown
Legacy List 3,rjrules1231,1480938,17,84,https://www.torn.com/profiles.php?XID=1480938,Unknown,Unknown,Unknown,Unknown
Legacy List 3,bloodbones2,1388057,17,84,https://www.torn.com/profiles.php?XID=1388057,Unknown,Unknown,Unknown,Unknown
Legacy List 4,saltypuma,986909,18,Unknown,https://www.torn.com/profiles.php?XID=986909,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Syd_2345,1354193,16,59,https://www.torn.com/profiles.php?XID=1354193,Unknown,Unknown,Unknown,Unknown
Legacy List 4,1159391,1159391,16,67,https://www.torn.com/profiles.php?XID=1159391,Unknown,Unknown,Unknown,Unknown
Legacy List 4,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 4,slykid,581343,20,104,https://www.torn.com/profiles.php?XID=581343,Unknown,Unknown,Unknown,Unknown
Legacy List 4,landhead71,1400442,20,84,https://www.torn.com/profiles.php?XID=1400442,Unknown,Unknown,Unknown,Unknown
Legacy List 4,livehere,969780,20,84,https://www.torn.com/profiles.php?XID=969780,Unknown,Unknown,Unknown,Unknown
Legacy List 4,fredie,524902,20,84,https://www.torn.com/profiles.php?XID=524902,Unknown,Unknown,Unknown,Unknown
Legacy List 4,samartin,685929,20,84,https://www.torn.com/profiles.php?XID=685929,Unknown,Unknown,Unknown,Unknown
Legacy List 4,fredmonkey,648698,20,94,https://www.torn.com/profiles.php?XID=648698,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Hass101,974933,20,94,https://www.torn.com/profiles.php?XID=974933,Unknown,Unknown,Unknown,Unknown
Legacy List 4,tutan,1389629,20,94,https://www.torn.com/profiles.php?XID=1389629,Unknown,Unknown,Unknown,Unknown
Legacy List 4,FLOWRIDER,920348,20,94,https://www.torn.com/profiles.php?XID=920348,Unknown,Unknown,Unknown,Unknown
Legacy List 4,tnm021,794755,20,94,https://www.torn.com/profiles.php?XID=794755,Unknown,Unknown,Unknown,Unknown
Legacy List 4,azizul,487342,19,59,https://www.torn.com/profiles.php?XID=487342,Unknown,Unknown,Unknown,Unknown
Legacy List 4,blackpower12,575872,19,59,https://www.torn.com/profiles.php?XID=575872,Unknown,Unknown,Unknown,Unknown
Legacy List 4,jt2946,1439547,19,59,https://www.torn.com/profiles.php?XID=1439547,Unknown,Unknown,Unknown,Unknown
Legacy List 4,aaronyuan,901426,19,59,https://www.torn.com/profiles.php?XID=901426,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Linners,1475516,19,67,https://www.torn.com/profiles.php?XID=1475516,Unknown,Unknown,Unknown,Unknown
Legacy List 4,gogo234,1423394,19,67,https://www.torn.com/profiles.php?XID=1423394,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Mrs-Smiley,2038807,19,75,https://www.torn.com/profiles.php?XID=2038807,Unknown,Unknown,Unknown,Unknown
Legacy List 4,dmora,1075217,19,75,https://www.torn.com/profiles.php?XID=1075217,Unknown,Unknown,Unknown,Unknown
Legacy List 4,pug_angel,1602560,19,84,https://www.torn.com/profiles.php?XID=1602560,Unknown,Unknown,Unknown,Unknown
Legacy List 4,najun18,524669,19,84,https://www.torn.com/profiles.php?XID=524669,Unknown,Unknown,Unknown,Unknown
Legacy List 4,rabbit132,1301482,19,84,https://www.torn.com/profiles.php?XID=1301482,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Ophianne,928958,19,94,https://www.torn.com/profiles.php?XID=928958,Unknown,Unknown,Unknown,Unknown
Legacy List 4,alison_angel,610742,18,59,https://www.torn.com/profiles.php?XID=610742,Unknown,Unknown,Unknown,Unknown
Legacy List 4,georgebighead,1302033,18,59,https://www.torn.com/profiles.php?XID=1302033,Unknown,Unknown,Unknown,Unknown
Legacy List 4,ClayDude,1324504,18,67,https://www.torn.com/profiles.php?XID=1324504,Unknown,Unknown,Unknown,Unknown
Legacy List 4,vampire1996,1361202,18,84,https://www.torn.com/profiles.php?XID=1361202,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Boo12,1366126,18,84,https://www.torn.com/profiles.php?XID=1366126,Unknown,Unknown,Unknown,Unknown
Legacy List 4,superspooky12,1364960,18,84,https://www.torn.com/profiles.php?XID=1364960,Unknown,Unknown,Unknown,Unknown
Legacy List 4,kaison13,1453389,18,84,https://www.torn.com/profiles.php?XID=1453389,Unknown,Unknown,Unknown,Unknown
Legacy List 4,ghostbusterz13,1330125,18,84,https://www.torn.com/profiles.php?XID=1330125,Unknown,Unknown,Unknown,Unknown
Legacy List 4,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 4,kirstie76,1396936,18,84,https://www.torn.com/profiles.php?XID=1396936,Unknown,Unknown,Unknown,Unknown
Legacy List 4,kyro56,1395728,18,94,https://www.torn.com/profiles.php?XID=1395728,Unknown,Unknown,Unknown,Unknown
Legacy List 4,firelordflame,668482,18,94,https://www.torn.com/profiles.php?XID=668482,Unknown,Unknown,Unknown,Unknown
Legacy List 4,jakej96,1606267,17,51,https://www.torn.com/profiles.php?XID=1606267,Unknown,Unknown,Unknown,Unknown
Legacy List 4,ClosetRealtor,2405369,17,59,https://www.torn.com/profiles.php?XID=2405369,Unknown,Unknown,Unknown,Unknown
Legacy List 4,freaksh0w,1835803,17,67,https://www.torn.com/profiles.php?XID=1835803,Unknown,Unknown,Unknown,Unknown
Legacy List 4,angelic_layer,554071,17,75,https://www.torn.com/profiles.php?XID=554071,Unknown,Unknown,Unknown,Unknown
Legacy List 4,whorree_mail_me,1351922,17,84,https://www.torn.com/profiles.php?XID=1351922,Unknown,Unknown,Unknown,Unknown
Legacy List 4,rjrules1231,1480938,17,84,https://www.torn.com/profiles.php?XID=1480938,Unknown,Unknown,Unknown,Unknown
Legacy List 4,bloodbones2,1388057,17,84,https://www.torn.com/profiles.php?XID=1388057,Unknown,Unknown,Unknown,Unknown
Legacy List 4,Airforcegabbone,2359540,17,94,https://www.torn.com/profiles.php?XID=2359540,Unknown,Unknown,Unknown,Unknown
Legacy List 4,3nergyFull,1936021,17,94,https://www.torn.com/profiles.php?XID=1936021,Unknown,Unknown,Unknown,Unknown
Legacy List 5,lordoftheflys,1514825,15,94,https://www.torn.com/profiles.php?XID=1514825,Unknown,Unknown,Unknown,Unknown
Legacy List 5,rabbit132,1301482,19,94,https://www.torn.com/profiles.php?XID=1301482,Unknown,Unknown,Unknown,Unknown
Legacy List 5,rjrules1231,1480938,17,104,https://www.torn.com/profiles.php?XID=1480938,Unknown,Unknown,Unknown,Unknown
Legacy List 5,BG_ALPHADOG,1323220,15,126,https://www.torn.com/profiles.php?XID=1323220,Unknown,Unknown,Unknown,Unknown
Legacy List 5,yaesu001,353299,23,126,https://www.torn.com/profiles.php?XID=353299,Unknown,Unknown,Unknown,Unknown
Legacy List 5,dick646,870109,19,138,https://www.torn.com/profiles.php?XID=870109,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Madds4,1079830,21,163,https://www.torn.com/profiles.php?XID=1079830,Unknown,Unknown,Unknown,Unknown
Legacy List 5,lucasmnunesk,1785612,15,Unknown,https://www.torn.com/profiles.php?XID=1785612,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Daishaun,1024614,16,67,https://www.torn.com/profiles.php?XID=1024614,Unknown,Unknown,Unknown,Unknown
Legacy List 5,bullet789,1417924,15,84,https://www.torn.com/profiles.php?XID=1417924,Unknown,Unknown,Unknown,Unknown
Legacy List 5,ash_j,1542030,20,94,https://www.torn.com/profiles.php?XID=1542030,Unknown,Unknown,Unknown,Unknown
Legacy List 5,tutan,1389629,20,94,https://www.torn.com/profiles.php?XID=1389629,Unknown,Unknown,Unknown,Unknown
Legacy List 5,hassanian,881857,16,138,https://www.torn.com/profiles.php?XID=881857,Unknown,Unknown,Unknown,Unknown
Legacy List 5,breshizzle,929846,17,Unknown,https://www.torn.com/profiles.php?XID=929846,Unknown,Unknown,Unknown,Unknown
Legacy List 5,pops11,1299741,16,51,https://www.torn.com/profiles.php?XID=1299741,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Boo12,1366126,18,67,https://www.torn.com/profiles.php?XID=1366126,Unknown,Unknown,Unknown,Unknown
Legacy List 5,ajh813,1554463,15,84,https://www.torn.com/profiles.php?XID=1554463,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Zak67,857317,16,84,https://www.torn.com/profiles.php?XID=857317,Unknown,Unknown,Unknown,Unknown
Legacy List 5,ghostbusterz13,1330125,18,84,https://www.torn.com/profiles.php?XID=1330125,Unknown,Unknown,Unknown,Unknown
Legacy List 5,fredie,524902,20,84,https://www.torn.com/profiles.php?XID=524902,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Awesome0ne,1767284,24,Unknown,https://www.torn.com/profiles.php?XID=1767284,Unknown,Unknown,Unknown,Unknown
Legacy List 5,kalam12345,1436559,15,67,https://www.torn.com/profiles.php?XID=1436559,Unknown,Unknown,Unknown,Unknown
Legacy List 5,Soonerdyy,1704490,15,67,https://www.torn.com/profiles.php?XID=1704490,Unknown,Unknown,Unknown,Unknown
Legacy List 5,fredmonkey,648698,20,84,https://www.torn.com/profiles.php?XID=648698,Unknown,Unknown,Unknown,Unknown
Legacy List 5,samartin,685929,20,84,https://www.torn.com/profiles.php?XID=685929,Unknown,Unknown,Unknown,Unknown
Legacy List 5,jack_le,997057,17,Unknown,https://www.torn.com/profiles.php?XID=997057,Unknown,Unknown,Unknown,Unknown
Legacy List 5,mariconarana,1250264,16,44,https://www.torn.com/profiles.php?XID=1250264,Unknown,Unknown,Unknown,Unknown
Legacy List 5,superspooky12,1364960,18,51,https://www.torn.com/profiles.php?XID=1364960,Unknown,Unknown,Unknown,Unknown
